                 l            r(l,1)            r(l,2)            r(l,3)                Vp
    2.040000000E+02    3.587327898E+01    4.806287289E+01    5.222229958E+01    9.657179181E-01
    2.050000000E+02    8.874157071E+01    6.320109963E+01    3.636872292E+02    3.131815036E-21
    2.060000000E+02    2.245474793E+00    6.937863678E+00    2.068650246E+02    1.795131158E-09
    2.070000000E+02    7.387286425E+01    6.085794568E+01    2.608905792E+02    1.534742448E-11
    2.080000000E+02    3.844530135E+00    3.941767812E+01    3.213868618E+02    8.143589335E-18
    2.090000000E+02    8.434254527E+01    7.280059457E+01    3.953065395E+02    1.326642435E-24
    2.100000000E+02    9.356796741E+00    6.817505360E+01    2.375555277E+02    2.564809793E-10
    2.110000000E+02    8.270751834E+01    9.912935086E-01    2.913896561E+02    1.180046293E-15
    2.120000000E+02    9.879506826E+01    1.735166460E+01    4.817615747E+01    3.126656118E-02
    2.130000000E+02    1.881246269E+01    2.229767740E+01    3.425326109E+02    2.110346091E-19
    2.140000000E+02    1.105812117E+01    1.978233755E+01    2.573573589E+02    5.292388115E-12
    2.150000000E+02    8.537985086E+01    3.690158427E+01    1.003971577E+02    1.469215587E-02
    2.160000000E+02    4.588185251E+01    1.423139572E+01    1.891218185E+02    7.463799492E-07
    2.170000000E+02    8.919900060E+01    9.873153567E+01    8.258618712E+01    1.958544551E-03
    2.180000000E+02    9.688261151E+01    1.429037750E+01    4.494515061E+01    8.916826214E-02
    2.190000000E+02    6.708166003E+01    3.276363909E+01    1.794494510E+02    5.127288124E-06
    2.200000000E+02    2.358266115E+01    8.344343901E+01    3.892387629E+02    3.796354796E-24
    2.210000000E+02    5.009329319E+01    4.104770347E+00    3.666384518E+01    3.798189690E-01
    2.220000000E+02    4.527157545E+01    2.053415775E+01    2.214352489E+01    3.546799328E+00
    2.230000000E+02    5.574907660E+01    8.704553246E+01    1.197725296E+02    2.563849687E-03
    2.240000000E+02    6.785858870E+01    8.176530004E+01    2.493875265E+02    8.194106393E-11
    2.250000000E+02    5.412557125E+01    4.064615369E+01    3.436234713E+02    6.607892929E-19
    2.260000000E+02    5.933157802E+01    2.979626656E+01    3.733124733E+02    4.232319284E-22
    2.270000000E+02    9.157686234E+01    4.125894308E+01    1.496568322E+02    7.379118897E-05
    2.280000000E+02    7.829849720E+01    6.033428758E+00    4.452190399E+01    2.425565336E-01
    2.290000000E+02    2.064615190E+01    4.769588113E+01    2.648923397E+02    4.759534183E-12
    2.300000000E+02    7.144988775E+01    3.551617265E+01    2.449080467E+02    2.311306935E-10
    2.310000000E+02    3.111559153E+01    6.857168674E+01    7.920981050E+01    1.317647370E-01
    2.320000000E+02    2.077729851E+01    3.663626909E+01    3.873600245E+02    6.204477020E-24
    2.330000000E+02    2.778365910E+01    2.850888669E+00    6.901684999E+01    2.716329221E-02
    2.340000000E+02    6.159045100E+01    2.998057008E+01    3.697299719E+02    1.017442916E-21
    2.350000000E+02    6.838802099E+01    4.306360781E+01    8.500028402E+00    7.539954623E+00
    2.360000000E+02    8.969632387E+01    5.337479711E+01    2.787662983E+02    2.692188677E-13
    2.370000000E+02    5.114013553E+01    8.943258524E+01    7.461130023E+01    8.819290754E-02
    2.380000000E+02    8.914831877E+01    3.872076869E+01    3.405256271E+02    5.760735385E-19
    2.390000000E+02    1.445986181E+01    7.181484699E+01    1.853482127E+02    1.040519874E-06
    2.400000000E+02    3.073031306E+01    3.078167140E+01    1.195426702E+02    4.218816211E-03
    2.410000000E+02    2.434212118E+01    7.782319784E+01    3.560567141E+02    1.802525158E-20
    2.420000000E+02    6.950511932E+01    7.937526107E+01    1.415825486E+01    5.121349263E+00
    2.430000000E+02    3.354305029E+01    1.209852025E+01    3.847325325E+02    6.457882412E-24
    2.440000000E+02    7.821419239E+01    1.711385995E+01    9.643917680E+01    1.640303166E-02
    2.450000000E+02    5.826300979E+01    3.717762530E+01    1.159232020E+02    7.872530554E-03
